Helsingi, 14.03.2024, 1:14
Riia, 20.03.2024, 0:55
Varssavi, 02.04.2024, 2:20
Stockholm, 02.04.2024, 1:30
Berliin, 12.04.2024, 2:40
Helsingi, 14.05.2024, 1:14
Riia, 20.05.2024, 0:55
Varssavi, 02.06.2024, 2:20
Stockholm, 02.06.2024, 1:30
Berliin, 12.07.2024, 2:40
Budapest, 16.07.2024, 4:12
Helsingi, 18.08.2024, 1:14
Riia, 22.08.2024, 0:55
Varssavi, 03.09.2024, 2:20
Stockholm, 05.09.2024, 1:30
Berliin, 15.09.2024, 2:40
Budapest, 20.09.2024, 4:12
Helsingi, 10.10.2024, 1:14
Riia, 15.10.2024, 0:55
Varssavi, 25.10.2024, 2:20
Stockholm, 28.10.2024, 1:30
Berliin, 05.11.2024, 2:40
Budapest, 12.11.2024, 4:12
Helsingi, 20.11.2024, 1:14
Riia, 22.11.2024, 0:55
Varssavi, 04.12.2024, 2:20
Stockholm, 07.12.2024, 1:30
Berliin, 15.12.2024, 2:40
Budapest, 18.12.2024, 4:12
Helsingi, 08.01.2025, 1:14
Riia, 12.01.2025, 0:55
Varssavi, 18.01.2025, 2:20
Stockholm, 22.01.2025, 1:30
Berliin, 02.02.2025, 2:40
Budapest, 08.02.2025, 4:12
Helsingi, 15.02.2025, 1:14
Riia, 22.02.2025, 0:55
Varssavi, 02.03.2025, 2:20
Stockholm, 07.03.2025, 1:30
Berliin, 15.03.2025, 2:40
Budapest, 20.03.2025, 4:12
Helsingi, 10.04.2025, 1:14
Riia, 18.04.2025, 0:55
Varssavi, 25.04.2025, 2:20
Stockholm, 30.04.2025, 1:30
Berliin, 05.05.2025, 2:40
Budapest, 12.05.2025, 4:12
Helsingi, 18.06.2025, 1:14
Riia, 22.06.2025, 0:55
Varssavi, 02.07.2025, 2:20
Stockholm, 08.07.2025, 1:30
Berliin, 12.07.2025, 2:40
Budapest, 18.07.2025, 4:12
